model,model_id
LS 460 L,928
Expedition Platinum,641
Malibu LTZ,1037
RS 7 4.0T quattro,1313
A5 2.0T Premium Plus,178
G70 2.0T,751
Trailblazer LS,1709
tC Base,1896
MKZ Hybrid Base,1017
Transit-350 XL,1718
911 GT2 RS,157
Explorer Timberline,650
XC90 3.2,1825
Avalanche LTZ,282
TT RS 2.5T,1658
Navigator L,1145
Elantra GLS,582
SQ5 3.0T Premium Plus,1507
Lancer Evolution GSR,943
Model Y Performance,1110
Maybach S S 600,1058
GT-R Premium,786
GLS 550 Base 4MATIC,778
Blazer Premier,309
CX-9 Grand Touring,392
Expedition Max Limited,639
Titan XD SV,1700
LX 570 Three-Row,934
Traverse Premier,1722
Sprinter High Roof,1617
X5 3.0i,1796
Fusion SE,739
MKZ Base,1016
GT,784
G90 5.0 Ultimate,759
LC 500 Base,924
Shelby GT500 Base,1534
Sky Base,1583
RS Q8 4.0T quattro,1315
Land Cruiser,948
SL-Class SL 550,1492
911 Carrera C2S,150
AMG GLA 45 Base 4MATIC,222
Taurus X Limited,1677
440 Gran Coupe i,77
S2000 CR,1460
Integra w/A-Spec Tech Package,907
Excursion Limited,628
SL-Class SL500 Roadster,1495
CLS-Class CLS 550,357
G35 Sport,745
Golf GTI 2.0T S 4-Door,827
Challenger R/T Scat Pack,443
Navigator L Reserve,1146
Ghibli S Q4,813
Model X Base,1102
AMG G 63 Base,219
Expedition Limited,637
Routan SE,1374
Veyron 16.4 Grand Sport,1754
Highlander XLE,869
Civic LX,464
Wrangler Unlimited Sahara,1778
Rover Range Rover Supercharged,1437
ILX 2.0L w/Premium Package,877
M6 Base,987
2 Launch Edition,19
X6 sDrive35i,1810
Cayman S,439
Corsair Grand Touring,503
DTS Luxury II,533
ATS 3.6L Luxury,243
Sierra 1500 SLT,1546
G37 x,749
Transit-350 XLT,1719
XTS Luxury,1861
NV Passenger NV3500 HD SL V8,1134
GLS 450 Base 4MATIC,777
Land Cruiser Base,949
Land Cruiser Base,949
ProMaster 2500 Window Van High Roof,1219
Gallardo Base,797
MKZ Base,1016
EQS 450 4MATIC,565
Huracan Tecnica Coupe,875
Romeo Giulia Quadrifoglio,1368
Trailblazer LT,1710
Land Cruiser Base,949
Urus Base,1742
G37 x,749
Levante S,958
Highlander Limited,865
Armada SL,266
Q5 Premium,1236
Shelby GT500 Base,1534
Navigator L Reserve,1146
EQS 450+ Base,566
1500 Laramie,11
Town Car Base,1707
TLX w/A-Spec Package,1649
Camry Hybrid LE,408
CR-V EX,360
E-Class E 550,555
MX-5 Miata Grand Touring,1023
718 Boxster Base,118
Transit-350 XLT,1719
Sportage SX Turbo,1609
G37 S Sport,747
Titan XD S,1699
S7 2.9T Prestige,1482
Rover Discovery HSE,1382
Transit-350 XLT,1719
Q70 3.7,1253
Gladiator Rubicon,819
MKX Base,1013
911 Carrera 4S,148
AMG C 43 Base 4MATIC,209
Cayman Base,435
MDX 3.7L Advance,1000
Golf R 4-Door w/DCC & Navigation,832
Forte GT-Line,727
M8 Competition,992
MKC Select,1009
i8 Base,1894
Highlander XLE,869
CX-30 Premium Package,384
Cayenne Platinum Edition,430
MKZ Reserve,1018
Model 3 Standard Range Plus,1088
718 Cayman S,123
Corvette Base,506
RSX Type S,1317
Roma Base,1366
Cayman S,439
Phantom Drophead Coupe Drophead,1207
SQ7 4.0T,1509
AMG GLS 63 4MATIC,230
Ridgeline RTL-E,1359
CLK-Class 500 Cabriolet,352
GX 470 Base,796
NX 200t Base,1138
Dakota SLT Quad Cab,536
Ghibli S Q4 GranSport,814
Rover Discovery Sport SE R-Dynamic,1390
Martin DBX Base,1044
Q3 45 S line Premium,1225
Explorer XLT,651
AMG GLC 63 Base 4MATIC,224
BRZ Premium,296
640 i,113
Stinger GT2,1621
Bolt EUV Premier,310
Forester 2.5 XT,723
Sportage X-Pro,1610
M4 Base,977
Equus Signature,601
AMG E 53 4MATIC,215
M550 i xDrive,985
Impreza WRX STI,901
AMG G 63 Base,219
Mazda6 Grand Touring,1069
Veloster Base,1747
Bentayga S,304
Rover Defender X-Dynamic SE,1381
Telluride SX,1686
GranTurismo Sport,838
540 i xDrive,106
M56 Base,986
Mazda3 s Grand Touring,1066
Corvette Stingray w/1LT,510
Q5 S line Premium Plus,1238
GX 460 Base,793
X1 sDrive28i,1783
Romeo Stelvio Ti,1372
1500 Big Horn,5
M4 Base,977
Model X Long Range,1103
S90 T5 Momentum,1489
Impreza WRX Sti,902
X6 xDrive40i,1812
CTS 2.0L Turbo Luxury,372
Rover Discovery Sport HSE,1387
G90 5.0 Ultimate,759
CLK-Class CLK 350,354
Rover Range Rover Autobiography,1404
Optima EX,1160
Highlander SE,868
Sprinter 4500 High Roof,1616
X1 xDrive28i,1785
R8 5.2,1282
S3 2.0T Tech Premium Plus,1462
Tundra Hybrid TRD Pro,1733
SQ5 3.0T Premium Plus,1507
A6 2.0T Premium Plus,182
Huracan EVO Base,870
328 xi,46
SQ5 3.0T Prestige,1508
Escalade Sport Platinum,618
M235 i,968
Telluride SX,1686
Express 3500 Base,657
Acadia SLE,245
X3 xDrive30i,1791
TT 2.0T,1655
Outback 3.6R Touring,1171
Eclipse Spyder GS,575
Santa Fe SEL,1520
M5 Base,983
Ram 1500 ST,1342
Fusion Energi Titanium,734
Tundra Hybrid TRD Pro,1733
Rover Range Rover Evoque Pure,1407
Navigator Base,1144
Mustang Mach-E Select,1127
Sprinter 3500 High Roof,1614
AMG E 63 S 4MATIC,217
440 i xDrive,78
Integra LS,906
Q7 55 Prestige,1251
M6 Base,987
Arteon 2.0T SE,269
LX 600 F SPORT,935
Q40 Base,1230
Z4 3.0i Roadster,1879
M6 Base,987
X3 M40i,1788
Sorento LX,1597
R1S Adventure Package,1278
Z4 sDrive28i,1881
CTS-V Base,380
Transit Connect XL,1713
Rover Range Rover Velar SVAutobiography Dynamic Edition,1445
IS 250 Base,884
X7 xDrive40i,1816
XC90 T6 Momentum,1831
Tucson Limited,1726
Durango GT,540
AMG C 43 Base 4MATIC,209
Yukon XL SLT,1874
RS Q8 4.0T,1314
R1S Adventure Package,1278
RAV4 Hybrid XLE,1289
Romeo Stelvio Quadrifoglio,1371
Rover Range Rover Evoque SE,1410
Romeo Stelvio Ti Sport,1373
Escalade EXT Base,610
F-250 Lariat,676
350Z Enthusiast,58
Legacy 2.5 i Premium,954
Civic LX,464
570S Spider,110
Ghibli S Q4,813
Wagoneer Series II 4x4,1762
Ghibli S Q4,813
RX 300 Base,1319
Aviator Luxury,293
Transit Connect XL,1713
SRX Luxury Collection,1511
MKS EcoBoost,1011
Yaris Base,1865
AMG E 63 S 4MATIC,217
GLS 450 Base,776
G-Class G 550 4MATIC,742
Veloster Turbo R-Spec,1748
4Runner Limited,82
S-Class S 580 4MATIC,1455
RS 7 4.0T Performance Prestige,1311
MX-5 Miata Base,1021
AMG C 43 Base,208
Corvette Z06,513
F-250 King Ranch,674
Tiguan 2.0T SE,1693
750 Li xDrive,132
M3 CS,972
GX 460 Base,793
Q7 3.0T Premium,1247
Romeo Stelvio Ti Sport,1373
Rover Defender X,1380
750 i xDrive,134
M3 Base,971
Ghost Base,815
e-tron Prestige,1889
IS 250 Base,884
Rover Range Rover Evoque SE Premium,1411
California T,398
LC 500 Base,924
EV6 Wind,572
Sierra 1500 SLE Crew Cab,1544
ES 350 Base,570
370Z NISMO,62
Ram 1500 Laramie,1336
Expedition Limited,637
QX70 Base,1266
X5 M Base,1798
Navigator Select,1150
V60 Cross Country T5,1745
A7 3.0T Premium Plus,193
Bronco Sport Outer Banks,329
Eurovan MV,624
F-TYPE R,699
Rover Range Rover Evoque R-Dynamic HSE,1408
1500 Laramie,11
R1S Adventure Package,1278
M760 i xDrive,990
LX 570 Three-Row,934
Rover Range Rover Velar P250 SE R-Dynamic,1440
MDX w/Technology Package,1006
LC 500 Base,924
SQ5 3.0T Prestige,1508
Rover Range Rover Velar P250 SE R-Dynamic,1440
1500 Limited,12
S4 3.0T Premium,1464
A8 4.0,199
Escalade ESV Sport,609
AMG GT AMG GT S,234
M3 Base,971
Accord EX-L,254
Cullinan,530
Escalade Premium,614
RDX Technology Package,1300
X2 xDrive28i,1786
Pacifica Touring,1180
Verano Convenience,1751
AMG S 63 Base 4MATIC,238
2500 Tradesman,31
Metris Base,1078
Rover Range Rover Evoque S,1409
XC90 T6 Inscription,1830
Expedition King Ranch,636
Highlander Hybrid Limited,861
Tundra SR5 Access Cab,1738
Transit-350 Base,1717
Express 3500 LT,658
Bolt EUV Premier,310
Wrangler Unlimited 4xe Sahara,1774
X7 xDrive40i,1816
AMG GT 53 Base,231
Tundra Limited,1734
X1 xDrive28i,1785
135 i,3
Mazda3 Touring,1062
A7 3.0T Premium Plus,193
Sky Red Line,1584
Z4 2.5i Roadster,1878
XC90 Hybrid T8 Inscription,1827
TLX A-Spec,1641
MDX w/Technology Package,1006
Tahoe High Country,1670
Model Y Long Range,1109
GLK-Class GLK 350,775
Traverse LS,1721
550 Gran Turismo i,107
Rover Range Rover Sport HSE,1427
430 i xDrive,72
Cayman Base,435
Expedition Max King Ranch,638
R1S Adventure Package,1278
GLC 300 GLC 300,770
Mustang Shelby GT500,1130
Model Y Long Range,1109
370Z Base,61
Sequoia Platinum,1529
NV Passenger NV3500 HD SL V8,1134
Transit Connect XL w/Rear Symmetrical Doors,1714
QX80 Base,1267
Martin V8 Vantage Base,1045
911 Carrera S,154
Evora 400 Base,626
Rover Range Rover Velar P250 S R-Dynamic,1439
Xterra S,1864
Charger R/T,453
Encore GX Essence,593
Leaf S,950
Leaf SL,951
Grand Wagoneer Series III,851
Z Proto Spec,1875
Rover Range Rover Sport HSE,1427
Boxster S,316
Continental GT Base,483
F-TYPE R,699
Escalade ESV Sport,609
TT 2.0T,1655
Wrangler Unlimited Sahara,1778
S6 4.0T,1474
Sierra 2500 SLE,1550
Model 3 Long Range,1084
CX-90 Premium,396
C-Max Energi SE,345
Escalade ESV Platinum,605
TT 3.2 Cabriolet quattro,1657
Santa Fe SE,1519
AMG GLE AMG GLE 63 S-Model 4MATIC,229
SL-Class SL 550,1492
MDX 3.5L Technology Package,997
2500 Laramie,27
A7 Premium,197
M2 Base,965
1500 Laramie,11
Q5 2.0T Premium Plus,1232
XTS Luxury,1861
Jetta 1.4T SE,910
Focus RS Base,717
AMG C 63 S,211
Bronco Sport Big Bend,328
Gladiator Overland,818
330e iPerformance,50
GLC 300 Base 4MATIC,769
MDX 3.7L Advance,1000
G70 3.3T,752
LX 570 Three-Row,934
Grand Cherokee L Limited,843
IONIQ Plug-In Hybrid SEL,883
Sportage LX,1605
X5 PHEV xDrive45e,1800
Expedition EL XLT,635
X6 M Base,1808
Eurovan MV,624
Ghost Base,815
Navigator Reserve,1149
GLA 250 Base 4MATIC,764
1500 Big Horn,5
Grand Cherokee L Summit,845
S80 3.2,1487
BRZ Premium,296
Corvette Base,506
H2 SUT,854
RS 7 4.0T,1310
Edge Sport,580
Terrain SLT,1689
Rover Range Rover 5.0L Supercharged Autobiography LWB,1402
Grand Cherokee WK Laredo X,849
M4 Base,977
AMG GT 63 S 4-Door,232
Camaro 1LT,399
X6 M Base,1808
CLK-Class 550,353
1500 TRX,17
RS 7 4.0T Prestige,1312
Macan S,1031
GV70 3.5T Sport,791
Martin V8 Vantage Base,1045
350Z Touring,60
Sequoia SR5,1530
Tahoe Premier,1674
Compass Limited,480
430 430i,69
Bronco Sport Outer Banks,329
AMG C 63 Base,210
S40 T5,1468
GLE 350 Base 4MATIC,772
Silverado 1500 1LT,1554
Tahoe LTZ,1673
MDX Technology,1003
Bentayga Speed,305
Cullinan,530
GV70 2.5T,790
Firebird Base,711
GX 460 Base,793
ALPINA B7 ALPINA B7 xDrive,204
M4 Competition xDrive,980
Grand Cherokee L Limited,843
Forte GT-Line,727
Forte LX,729
X6 M Base,1808
ProMaster 3500 High Roof,1220
Atlas Cross Sport 3.6L V6 SEL Premium,278
Santa Fe SEL,1520
XF 3.0 Portfolio,1837
A7 55 Premium Plus,196
QX30 Premium,1260
AMG G 63 4MATIC,218
AMG C 43 AMG C 43 4MATIC,207
Lancer Evolution Base,942
Wrangler Unlimited Sport,1779
A3 2.0 TDI Premium Plus,166
Jetta GLX VR6,912
ALPINA B7 ALPINA B7 xDrive,204
Bentayga Azure First Edition,302
CLA-Class CLA 250,351
i8 Base,1894
CT 200h Premium,365
Tundra SR5,1737
SLC 300 Base,1499
AMG C AMG C 63 S,213
F-150 XLT,671
CX-9 Grand Touring,392
Ridgeline RTL-E,1359
Bentayga Onyx Edition,303
Cooper S Clubman Base,497
Murano SL,1114
Bentayga V8,306
Juke SV,917
Expedition Max Limited,639
Expedition Max King Ranch,638
Murcielago Base,1116
Suburban LT,1628
Bentayga Onyx Edition,303
M760 i xDrive,990
GV70 2.5T,790
Tahoe LT,1672
Durango GT,540
718 Cayman GTS,122
Cayman Base,435
Panamera Turbo,1194
ES 350 Base,570
Optima Hybrid LX,1162
Rover Range Rover Velar R-Dynamic SE,1444
XF S,1842
GX 470 Base,796
GL-Class GL 550,762
X6 M Base,1808
1500 Longhorn,13
Huracan LP580-2S,873
Highlander Hybrid Limited Platinum,862
e-tron Prestige,1889
Suburban 2500,1625
Rover Range Rover Velar SVAutobiography Dynamic Edition,1445
Bolt EUV Premier,310
M240 i,969
Escalade EXT Base,610
tC Release Series 6.0,1897
Optima EX,1160
Civic EX,463
Quattroporte Base,1270
Panamera Turbo,1194
G70 2.0T,751
Trailblazer LS,1709
Camry LE,410
Sienna LE,1535
911 Carrera S,154
V60 T6 R-Design Platinum,1746
LX 600 Premium,936
330e iPerformance,50
Model Y Long Range,1109
124 Spider Abarth,1
Ram 1500 Quad Cab,1338
Supra A91-MT Edition,1635
X7 xDrive40i,1816
Wrangler Unlimited X,1781
Countryman Cooper S ALL4,518
Maxima SV,1056
Camry Solara SLE V6,414
Grecale Modena,852
RX 450h Base,1328
328 i xDrive,45
135 i,3
X7 M50i,1815
Tucson Hybrid SEL Convenience,1725
C30 T5 Premier Plus,346
Revero Base,1357
X7 xDrive40i,1816
Mustang Mach-E California Route 1,1124
740 i,127
Edge SEL,579
Arteon 2.0T SEL Premium R-Line,270
Pilot EX,1210
X7 ALPINA XB7,1814
2500 Tradesman,31
Grand Cherokee Limited,847
Yukon Denali,1867
M6 Base,987
MDX 3.5L w/Advance & Entertainment Pkgs,998
Beetle 1.8T,298
X6 M Base,1808
Mustang GT Premium,1123
X7 xDrive50i,1817
Sorento LX V6,1598
435 i,74
Martin V8 Vantage Base,1045
CLK-Class CLK 350,354
740 i,127
Caliber Express,397
ZDX Base,1883
Wrangler X,1782
M3 Base,971
Sportage Plug-In Hybrid X-Line,1607
Mustang Mach-E Premium,1126
M3 Base,971
Wrangler Rubicon,1766
Panamera 4 Platinum Edition,1187
Explorer XLT,651
M4 Base,977
Mustang Mach-E Premium,1126
500e Battery Electric,96
Escalade Luxury,611
SL-Class SL 550,1492
Expedition Limited,637
R1S Adventure Package,1278
M6 Base,987
Huracan LP580-2,872
Bronco Wildtrak Advanced,330
LC 500 Base,924
LS 460 Crafted Line,927
M4 Base,977
A3 2.0T Tech Premium,169
S8 4.2 quattro,1486
Golf GTI 2.0T Autobahn 4-Door,826
Escalade Sport,617
Tucson SE,1727
GR86 Premium,781
Bronco Raptor,326
Santa Fe SEL,1520
Armada Platinum,265
GX 470 Base,796
CTS Premium,379
R8 Base,1287
F-PACE S,696
Silverado 1500 1LT,1554
Expedition Limited,637
Sequoia Platinum,1529
M440 i,981
A8 L 55,203
Avalon XLE,286
Macan Base,1029
IS 350 F Sport,888
Metris Base,1078
RX 350 Base,1321
Supra A91 Edition,1634
AMG C 43 Base 4MATIC,209
X6 xDrive50i,1813
Tahoe LT,1672
F-150 SVT Raptor,668
Outback 3.0 R VDC Limited,1169
Romeo Giulia Ti,1369
CX-7 Grand Touring,389
F-150 Platinum,666
GLE 350 Base 4MATIC,772
A7 3.0T Premium Plus,193
2500 Laramie,27
Model S 70D,1090
S8 4.0T Plus,1484
Sonata Hybrid Limited,1589
A8 L 4.0T,202
Ranger Sport SuperCab,1352
Q50 Hybrid Premium,1242
M3 Base,971
E-Class E 350 4MATIC,551
Explorer sport,652
Camaro 1LT,399
MX-5 Miata RF Grand Touring,1025
Grand Cherokee L Limited,843
Hardtop Cooper S,859
9-3 SE,143
X5 xDrive40i,1806
Macan,1028
Q3 S line Premium Plus,1227
Acadia SLE,245
allroad 2.7T,1885
Marauder Base,1040
Genesis 3.8,802
SQ5 3.0T Premium Plus,1507
A8 L 55,203
Navigator Base,1144
M4 Base,977
CX-9 Carbon Edition,391
Corvette Stingray w/1LT,510
F-150 Lariat,661
F-250 Lariat,676
Roma Base,1366
GLS 450 Base 4MATIC,777
Santa Fe SEL Plus 2.4,1521
E-Class E 350,550
F-250 XLT SuperCab Super Duty,685
Marauder Base,1040
Transit-350 XLT,1719
C-Class C 300 4MATIC Sport,338
Arteon SEL R-Line,272
Suburban 2500 LS,1626
Suburban 1500 LT,1623
Eclipse GS,573
Land Cruiser Base,949
G80 2.5T,755
Tundra SR5 Access Cab,1738
Quattroporte Modena Q4,1271
RS 5 4.2,1309
Rogue S,1362
Panamera 4S,1188
M440 i xDrive,982
Escalade Premium,614
S60 T6 Momentum,1481
CX-9 Touring Plus,395
Pacifica Hybrid Touring L,1178
Wrangler Unlimited Sport,1779
Highlander Base,860
F-150 Lariat,661
Bronco,317
Rover Discovery Sport S R-Dynamic,1388
Mazda6 Touring,1072
Optima EX,1160
RX 350 Base,1321
Outlander Sport 2.4 SE,1176
GLS 450 Base 4MATIC,777
A3 2.0T Premium,168
A4 2.0T Premium,170
CLA-Class CLA 250,351
FX50 Base,709
K5 EX,918
X5 eDrive xDrive40e,1801
SLK-Class SLK230 Kompressor,1502
Wrangler SE,1769
Telluride SX,1686
Rover LR4 Lux,1396
XKR Base,1852
M4 Base,977
M340 i xDrive,975
AMG GLE 53 AMG GLE 53,227
1500 Laramie,11
ALPINA B7 Base,205
C-Class C280 4MATIC,341
Compass High Altitude,478
Highlander Hybrid XLE,863
X5 M Base,1798
M3 Base,971
M3 Base,971
Quattroporte S Q4 GranLusso,1274
RDX Advance Package,1297
GLA-Class GLA 250 4MATIC,765
Sprinter 3500XD High Roof,1615
XTS Luxury,1861
Camaro 2LT,401
Cayenne S,431
Magnum R/T,1034
Q70 3.7X,1254
Rover Range Rover SV Autobiography Dynamic SWB,1421
Camry Hybrid Base,407
Acadia SLT-1,248
Corsair Reserve,504
2500 SLT,30
3500 Laramie,55
GL-Class GL 450 4MATIC,761
M5 Base,983
Mustang SVT Cobra,1129
ILX Premium Package,880
Rainier CXL,1335
Escalade Luxury,611
S-Class S 560,1453
QX80 Base,1267
Encore Preferred,594
GLS 450 Base 4MATIC,777
Liberty Limited,959
S-Class S 63 AMG,1456
A8 L 3.0T,201
CX-30 2.5 S Select Package,381
Continental GT Speed,485
Continental GT V8,486
Flying Spur V8,716
911 Carrera 4S,148
Golf R 4-Door,831
Genesis Coupe 3.8 Grand Touring,808
F-150 XLT,671
Tucson Limited,1726
Mustang V6,1131
435 i,74
Challenger R/T,442
AMG G 63 Base,219
Challenger SRT Hellcat,447
Boxster Base,312
Macan Base,1029
F-250 XL,679
Mustang GT,1122
Suburban LT,1628
C-Class C 300 4MATIC,336
1500 Classic Warlock,10
Sequoia SR5,1530
M5 Base,983
Mazda3 FWD w/Premium Package,1060
Rogue SL,1363
A7 3.0T Prestige,194
G80 3.8,757
Ghost Base,815
M6 Gran Coupe Base,988
Mustang V6,1131
650 i,116
Leaf SV PLUS,952
MKC Reserve,1008
Telluride EX,1682
Navigator Reserve,1149
S-Class S 550 4MATIC,1452
Suburban LT,1628
A7 55 Premium,195
Mustang EcoBoost Premium,1121
Cruze LS,525
Rover Range Rover HSE SWB,1413
Rover Defender S,1377
650 i,116
Mustang Base,1117
K5 GT-Line,919
Mazda3 i Touring,1065
Stinger GT1,1620
Camaro ZL1,406
AMG G 63 Base,219
Thunderbird Premium,1692
e-tron Prestige,1889
Sierra 1500 SLT,1546
Telluride LX,1684
Corvette Base,506
650 i,116
Rogue SL,1363
Acadia Denali,244
Escalade Premium Luxury Platinum,616
GT-R Premium,786
Highlander XLE,869
X7 xDrive40i,1816
QX60 Base,1263
IS 250C Base,885
Sierra 1500 Denali,1539
SSR Base,1514
Challenger R/T,442
Equus Signature,601
Aventador SVJ Base,292
Mustang GT,1122
e-tron Premium,1888
Sequoia Limited,1528
Rover Range Rover Sport HST MHEV,1429
Grand Cherokee L Limited,843
GranTurismo Sport,838
M5 Base,983
C-Class 4MATIC Sedan,332
Rover Range Rover Sport First Edition,1426
F-150 Lariat,661
A4 2.0T Premium,170
540 i xDrive,106
X6 xDrive35i,1811
Mustang Base,1117
Sequoia Limited,1528
Challenger R/T Scat Pack,443
Rover Range Rover 3.0L Supercharged,1397
Q8 55 Premium Plus,1259
WRX Base,1758
Suburban LT,1628
QX60 Pure,1265
Cayman Base,435
QX60 Base,1263
M4 Base,977
MC20 MC20,996
Rover Defender SE,1378
M8 Base,991
Model Y Performance,1110
C40 Recharge Pure Electric Twin Ultimate,347
SL-Class SL 550,1492
Rover Range Rover P525 HSE SWB,1416
Escape XLT,623
ES 350 Base,570
718 Boxster GTS,119
G-Class G 550,741
1500 Big Horn,5
R8 5.2 V10 performance,1284
Lancer Evolution IX,944
TL Technology,1638
CTS Luxury,377
Camaro 1SS,400
Camry Hybrid LE,408
Transit-350 XLT,1719
RX 450h Base,1328
F-TYPE V6 S,702
Wrangler Sahara,1770
718 Boxster S,120
R8 5.2,1282
MKZ Base,1016
S-10 LS Crew Cab,1448
G-Class G 550 4MATIC,742
RX 350 RX 350 F SPORT Handling,1327
750 i xDrive,134
Camaro 2SS,402
Fusion Hybrid SE,736
Santa Cruz 2.5T Limited,1517
RX 350 F Sport,1324
Rover Range Rover Evoque S,1409
Suburban LT,1628
718 Spyder Base,124
Camaro 1LT,399
Gladiator Freedom,816
Tacoma Double Cab,1663
Yukon Denali Ultimate,1868
Shelby GT350R Base,1533
Escalade Premium Luxury Platinum,616
LaCrosse Base,938
Model X Long Range Plus,1104
E-Class E 300 4MATIC,549
Tahoe LT,1672
Telluride EX,1682
Tundra Hybrid Limited,1732
S8 4.0T quattro,1485
Armada Platinum,265
Rover Discovery HSE,1382
Telluride S,1685
GS 350 F Sport,783
X6 xDrive40i,1812
Rover Range Rover P400 SE SWB,1415
Silverado 3500 High Country,1581
Quattroporte Sport GT,1275
Viper GTC,1755
Expedition Limited,637
Mazda6 i Grand Touring,1073
Optima LX,1163
Rover Range Rover Sport SVR,1432
RX 450h F SPORT Handling,1329
Town Car Base,1707
Civic Si,465
RX 450h Base,1328
1500 Classic Warlock,10
Model Y Long Range,1109
RS 3 2.5T,1305
Genesis Coupe 3.8 R-Spec,809
Boxster RS 60 Spyder,315
F-250 XLT,682
Sorento EX,1594
370Z Touring,64
G70 2.0T,751
Rover Range Rover Sport Supercharged,1434
S-Class S 560 4MATIC,1454
Bronco Wildtrak Advanced,330
1500 SLT,15
Challenger R/T,442
Sonic LT,1593
Grand Cherokee Laredo,846
RS 5 4.2,1309
Grand Cherokee L Overland,844
MX-5 Miata Base,1021
Crossfire Limited,520
S5 4.2 Premium Plus,1473
Model X Base,1102
CT4 Luxury,366
Ghibli S Q4,813
F-PACE 25t Premium,693
750 i xDrive,134
TLX V6 Advance,1647
Terrain SLT-1,1690
